Date,Weekly Average Fare (USD)
03-Jan-22,705
10-Jan-22,675
17-Jan-22,605
24-Jan-22,599
31-Jan-22,610
07-Feb-22,600
14-Feb-22,604
21-Feb-22,620
28-Feb-22,629
07-Mar-22,651
14-Mar-22,675
21-Mar-22,688
28-Mar-22,665
04-Apr-22,657
11-Apr-22,666
18-Apr-22,672
25-Apr-22,683
02-May-22,688
09-May-22,711
16-May-22,699
23-May-22,697
30-May-22,682
06-Jun-22,697
13-Jun-22,707
20-Jun-22,737
27-Jun-22,773
